Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,Cum. risk
39,All cancers,724,Spain,ESP,0,0,27.88
39,All cancers,728,South Sudan,SSD,0,0,10.41
39,All cancers,729,Sudan,SDN,0,0,9.88
39,All cancers,740,Suriname,SUR,0,0,17.43
39,All cancers,748,Eswatini,SWZ,0,0,13.14
39,All cancers,752,Sweden,SWE,0,0,30.14
39,All cancers,756,Switzerland,CHE,0,0,28.67
39,All cancers,760,Syrian Arab Republic,SYR,0,0,13.71
39,All cancers,762,Tajikistan,TJK,0,0,9.38
39,All cancers,764,Thailand,THA,0,0,16.11
39,All cancers,768,Togo,TGO,0,0,11.25
39,All cancers,780,Trinidad and Tobago,TTO,0,0,18.46
39,All cancers,784,United Arab Emirates,ARE,0,0,11.63
39,All cancers,788,Tunisia,TUN,0,0,14.18
39,All cancers,792,Türkiye,TUR,0,0,22.69
39,All cancers,795,Turkmenistan,TKM,0,0,12.89
39,All cancers,800,Uganda,UGA,0,0,15.77
39,All cancers,804,Ukraine,UKR,0,0,21.56
39,All cancers,807,North Macedonia,MKD,0,0,22.18
39,All cancers,818,Egypt,EGY,0,0,17.06
39,All cancers,826,United Kingdom,GBR,0,0,29.65
39,All cancers,834,"Tanzania, United Republic of",TZA,0,0,14.56
39,All cancers,840,United States of America,USA,0,0,34.25
39,All cancers,854,Burkina Faso,BFA,0,0,13.85
39,All cancers,858,Uruguay,URY,0,0,27.76
39,All cancers,860,Uzbekistan,UZB,0,0,12.26
39,All cancers,862,Venezuela,VEN,0,0,18.3
39,All cancers,882,Samoa,WSM,0,0,25.49
39,All cancers,887,Yemen,YEM,0,0,8.36
39,All cancers,894,Zambia,ZMB,0,0,16.2
